Category,Total_Files,Successful_Files,Avg_Vehicles_Used,Min_Vehicles_Used,Max_Vehicles_Used,Avg_Total_Distance,Min_Total_Distance,Max_Total_Distance
c1,17,17,15.411764705882353,11,21,2506.618526498955,1901.0808973004696,3016.8306331966187
c2,16,16,6.1875,4,8,2638.4209481852463,1012.9446347968772,3420.7598434394013
r1,12,12,19.416666666666668,17,24,2390.5344988400357,2210.4268029493637,2665.806620461312
r2,11,11,6.363636363636363,5,9,2841.2222954427116,2563.415261105236,3055.811661226682
