File,Vehicles Used,Total Distance,Routes
c101.txt,15,1901.8137253512648,"Route 1 : 0 1 75 0
Route 2 : 0 2 69 49 0
Route 3 : 0 3 7 8 74 46 45 48 51 50 52 47 0
Route 4 : 0 5 33 62 82 84 85 79 80 21 0
Route 5 : 0 13 17 18 19 15 16 14 12 99 0
Route 6 : 0 20 55 54 53 56 58 60 59 66 0
Route 7 : 0 32 24 35 29 30 28 26 23 22 0
Route 8 : 0 43 65 41 40 93 97 88 89 91 0
Route 9 : 0 57 42 83 10 11 9 6 4 0
Route 10 : 0 67 87 86 94 92 77 68 0
Route 11 : 0 81 78 76 71 70 73 0
Route 12 : 0 90 96 95 44 72 61 64 0
Route 13 : 0 98 25 0
Route 14 : 0 31 27 37 38 39 36 34 0
Route 15 : 0 63 0"
c102.txt,11,2294.9934358944242,"Route 1 : 0 1 33 62 44 38 39 36 66 2 12 0
Route 2 : 0 13 17 18 19 15 16 14 23 22 0
Route 3 : 0 20 87 86 71 70 73 77 79 80 37 34 0
Route 4 : 0 32 24 27 74 46 45 51 49 31 0
Route 5 : 0 43 65 41 40 56 58 60 89 59 85 0
Route 6 : 0 57 42 35 29 30 28 99 69 95 0
Route 7 : 0 67 55 54 53 84 61 64 68 82 83 3 0
Route 8 : 0 81 25 8 10 11 9 6 4 94 96 26 0
Route 9 : 0 90 78 76 92 93 97 88 47 0
Route 10 : 0 63 48 50 52 5 7 21 72 75 0
Route 11 : 0 91 98 0"
c103.txt,11,2800.3587955459852,"Route 1 : 0 1 33 8 10 30 6 4 22 63 49 0
Route 2 : 0 13 17 27 15 11 9 88 99 2 3 0
Route 3 : 0 55 76 92 84 77 79 80 7 12 0
Route 4 : 0 65 25 35 93 64 23 66 54 46 0
Route 5 : 0 67 42 41 40 44 38 39 36 69 71 0
Route 6 : 0 78 53 56 58 45 68 81 16 0
Route 7 : 0 87 62 70 18 31 32 34 37 21 0
Route 8 : 0 74 57 75 82 85 95 5 0
Route 9 : 0 97 98 60 28 14 19 20 24 26 29 0
Route 10 : 0 73 83 94 96 43 47 48 50 51 52 61 0
Route 11 : 0 59 86 89 90 91 72 0"
c104.txt,11,2767.3913748198383,"Route 1 : 0 1 87 76 15 9 2 4 3 5 63 0
Route 2 : 0 13 25 8 92 84 79 99 69 39 0
Route 3 : 0 55 53 11 77 23 70 6 0
Route 4 : 0 67 62 38 7 10 12 14 16 17 0
Route 5 : 0 44 58 71 73 24 27 33 0
Route 6 : 0 74 54 56 60 78 80 28 0
Route 7 : 0 93 57 29 30 31 32 34 35 36 19 0
Route 8 : 0 46 81 85 88 95 97 37 0
Route 9 : 0 42 75 82 98 18 21 22 20 26 40 41 0
Route 10 : 0 45 47 48 49 50 51 52 59 61 64 65 66 0
Route 11 : 0 83 94 96 68 72 86 89 90 91 43 0"
c105.txt,14,2431.133957032376,"Route 1 : 0 1 47 0
Route 2 : 0 2 22 49 0
Route 3 : 0 3 5 7 62 74 72 77 79 80 21 75 0
Route 4 : 0 43 13 18 19 15 16 14 6 99 52 0
Route 5 : 0 98 17 53 56 46 61 23 66 69 0
Route 6 : 0 20 32 31 40 44 58 60 59 91 0
Route 7 : 0 57 24 35 29 38 45 48 51 50 0
Route 8 : 0 67 90 25 27 37 39 64 68 0
Route 9 : 0 96 63 8 10 30 28 36 34 0
Route 10 : 0 33 42 41 82 11 9 26 0
Route 11 : 0 65 78 76 71 70 73 88 4 0
Route 12 : 0 81 87 86 83 92 85 12 0
Route 13 : 0 55 95 94 93 97 89 0
Route 14 : 0 54 84 0"
c106.txt,15,2768.1111398398775,"Route 1 : 0 1 52 47 0
Route 2 : 0 2 91 75 0
Route 3 : 0 3 7 81 56 58 60 88 89 69 49 0
Route 4 : 0 5 43 63 62 74 72 85 4 66 0
Route 5 : 0 13 17 95 94 82 84 26 80 0
Route 6 : 0 20 57 55 35 30 28 61 68 50 0
Route 7 : 0 24 65 41 29 38 39 36 51 99 0
Route 8 : 0 25 27 53 46 45 48 59 21 0
Route 9 : 0 31 40 37 97 64 22 0
Route 10 : 0 32 33 18 19 11 23 34 0
Route 11 : 0 42 67 87 86 71 70 73 77 79 0
Route 12 : 0 78 98 8 10 93 9 6 0
Route 13 : 0 76 90 15 16 14 12 0
Route 14 : 0 96 54 44 83 0
Route 15 : 0 92 0"
c107.txt,14,2072.2969701068805,"Route 1 : 0 1 21 75 0
Route 2 : 0 2 99 52 47 0
Route 3 : 0 3 4 23 22 69 49 0
Route 4 : 0 5 6 26 68 50 0
Route 5 : 0 7 18 8 29 16 14 12 66 0
Route 6 : 0 13 17 25 19 10 11 9 89 91 0
Route 7 : 0 20 24 31 27 15 93 97 0
Route 8 : 0 32 33 41 35 37 28 59 0
Route 9 : 0 42 43 54 40 74 72 61 64 0
Route 10 : 0 55 57 63 53 56 58 60 0
Route 11 : 0 65 67 76 62 44 46 45 48 51 0
Route 12 : 0 78 81 86 71 70 73 77 79 80 0
Route 13 : 0 87 90 95 83 82 84 85 88 0
Route 14 : 0 96 98 94 92 30 38 39 36 34 0"
c108.txt,13,2663.570958661311,"Route 1 : 0 1 2 21 0
Route 2 : 0 3 4 36 34 22 75 0
Route 3 : 0 5 7 13 18 8 30 28 64 59 69 47 0
Route 4 : 0 57 65 20 94 93 84 79 89 91 49 0
Route 5 : 0 17 87 25 27 37 85 88 99 52 0
Route 6 : 0 96 98 31 40 44 46 45 48 51 50 0
Route 7 : 0 32 33 43 41 10 16 39 23 66 0
Route 8 : 0 55 67 63 54 56 72 61 26 0
Route 9 : 0 76 78 81 71 92 14 12 0
Route 10 : 0 90 95 24 62 74 58 60 68 0
Route 11 : 0 42 86 53 35 38 97 6 0
Route 12 : 0 19 83 15 11 9 0
Route 13 : 0 29 82 70 73 77 80 0"
c109.txt,11,1901.0808973004698,"Route 1 : 0 1 89 2 21 0
Route 2 : 0 3 5 6 11 9 26 51 22 47 0
Route 3 : 0 7 8 10 13 27 29 30 45 48 68 66 69 0
Route 4 : 0 17 18 20 24 35 37 38 39 36 34 49 0
Route 5 : 0 25 31 32 33 40 44 46 28 0
Route 6 : 0 41 42 43 54 53 56 58 85 4 0
Route 7 : 0 55 57 63 65 62 70 73 77 79 80 0
Route 8 : 0 67 76 78 81 71 92 93 97 23 50 0
Route 9 : 0 86 87 90 95 19 15 16 14 12 99 0
Route 10 : 0 96 98 83 94 74 72 60 59 91 52 0
Route 11 : 0 82 84 61 88 64 75 0"
c201.txt,5,1624.9989504274874,"Route 1 : 0 1 30 29 6 32 33 31 35 37 38 39 36 28 26 84 86 83 82 85 76 71 70 73 80 79 81 10 8 21 90 0
Route 2 : 0 2 27 61 64 66 69 68 65 49 7 3 4 56 58 60 59 57 40 44 45 51 17 13 25 9 11 41 48 87 0
Route 3 : 0 5 20 24 74 72 97 92 94 95 98 55 54 53 89 91 88 23 18 19 16 14 12 15 52 47 43 42 78 77 96 0
Route 4 : 0 22 63 62 99 34 46 50 0
Route 5 : 0 67 93 75 0"
